abbr,Itr,LABEL
CAMITR,"剑桥大学(University of Cambridge)成立于1209年，最早是由一批为躲避殴斗而从牛津大学(University of Oxford)逃离出来的老师建立的，亨利三世国王在1231年授予剑桥教学垄断权。剑桥大学和牛津大学齐名为英国的两所最优秀的大学，由于这两所古老的大学在办学模式等很多方面都很相似，故常被合称为Oxbridge(牛剑)，90位诺贝尔奖得主出自此校(实际来此校工作或执教过的人数可能更多，有指超过100位。因为剑桥大学官方的数据是根据学生或教师是否为学院的成员(Membership/Fellowship)而定。另外，每个大学对计算这个数字的原则都有不同的定义，如：有些大学并不计算那些在得奖以后才到有关院校的人而有些大学则仍将其计算在内;有些亦不计算在校任教不足1年的教职员但其他的却仍视其为与该校有联系的得奖主。因此，不同网站(包括校方官网)所给的资讯都会有差别)。剑桥大学位于伦敦北面50哩以外的剑桥镇。剑桥镇本身是一个拥有大约10万居民的英格兰小镇。这个小镇有一条河流穿过，称为剑河(River Cam，也译作康河)。剑桥大学本身没有一个指定的校园，没有围墙，也没有校牌。绝大多数的学院、研究所、图书馆和实验室都建在剑桥镇的剑河两岸，以及镇内的不同地点。剑桥大学有31个学院，三个女子学院，两个专门的研究生院。剑桥大学最大的特色是学院制，剑桥大学中央不过担当一个像联邦政府的角色，掌管一些宏观的事情，35所风格各异的学院史背景不同，每个学院在经济上自负盈亏，因此各个学院在行政财务，招生教学，都有很大的自主权。各学院内部录取步骤各异，每个学院在某种程度上就像一座微型大学，有自己的校规校纪。在毕业典礼上，每个学生都要由学院院长牵手引到校长面前跪下，接受祝福，象征由学院教导成材。目前剑桥大学共有96位诺贝尔奖获得者(截止到2016年，其中32位获物理学奖, 26 位获医学奖, 22位获化学奖, 11位获经济学奖, 3位获文学奖，2位获和平奖) 。",Introduction
OXFITR,牛津大学(University of Oxford，简称：Oxon.)，建校于1167年。位于英国的牛津大学具有世界声誉，它在英国社会和高等教育系统中具有极其重要的地位，有着世界性的影响。英国和世界很多的青年学子们都以进牛津大学深造作为理想。有全球本科生诺贝尔奖之称的罗德奖学金，每年在全球选取80名最优秀大四本科生去牛津大学攻读硕士或博士。这些罗德学者之后在全世界都有非常重要的影响力。牛津大学是英国研究型大学罗素盟校，欧洲顶尖大学科英布拉集团，欧洲研究型大学联盟以及Europaeum中的核心成员。在九个世纪以来，牛津大学一直是全英国乃至于世界级的顶尖学府。牛津大学和剑桥大学时常被合称为牛剑，它们两所是英格兰最古老、最著名的大学。从2002年至2010年，牛津大学已经连续9年被英国泰晤士报评为全英综合排名第一的大学。除学院外，牛津大学的教学和研究活动(尤其是后者)，主要由学部来组织，学部不是大学内的自治单位，它们都是跨学院的机构，不附属于任何一个学院，不过各学部的教师和学生，首先必须是牛津大学内某一学院的一员。牛津大学现有16个学部：人类学和地理学学部，生物科学学部，临床医学学部，英语和文学学部，法学学部，经典、哲学和古代历史学部，数学学部，中世纪和现代语言学部，现代历史学部，音乐学部，东方学学部，物理科学学部，生理科学学部，心理学学部，社会学学部，神学学部，文科学部下一般不再分系，理科学部下又分成30多个系，有的学部还设一些中心和研究所。此外，有的研究所(如教育研究所，招收有研究生)不隶属于上述各学部，而直属于大学。十二世纪末的时候，牛津镇已经是一个重要的教育中心。从欧洲大陆与其他地方的学者定居在此，在1096年时就有一些教学活动。1167年巴黎大学的排外活动，让许多英国学者离开法国，回到英国牛津。,Introduction
SADITR,圣安德鲁斯大学不仅是世界闻名的教学研究中心，也是英国十分优秀的学府，在种种排名中圣安德鲁斯大学经常名列前茅。圣安德鲁斯大学的国际学生占12%，英国王子威廉在2001年也成为圣安的一员。教学科研质量都很高，学生都为能穿上红色学生袍而感到自豪。小镇上人数不多，大学与城市联为一体，与城市一样的美丽。圣安德鲁斯大学2009年Times最新排名为第五名，她的预科分为本科预科、硕士预科(分两种，给大专学生读的预科和给本科生读的预科)。圣安德鲁斯大学创立于公元1410年，是苏格兰最古老的大学，也是英国的第三所大学，其悠久的历史仅次于牛津及剑桥大学。圣安德鲁斯大学有600多年的历史，为英国最古老的6所大学之一。圣安德鲁斯镇为苏格兰境内风景高颜值的靠海市镇之一，不仅是高尔夫的发源地，同时也是苏格兰历史悠久著名大学的发源地。小镇上人数不多，交通方便，与各大城市都有公路连通。圣安德鲁斯大学在学术研究方面始终保持着优异及领先的地位。主要强项包括：经济学，化学，地理学，数学和统计学，物理学，历史学，细胞和分子生物学，有机生物学，欧洲语言，心理学。特色课程设置：PAC(Postgraduate Access Course)研究生英语班：针对想在英国攻读研究生课程学位及加强其学术写作与口语表达能力的学生，其中并包含参与研究自己专业领域的课程。,Introduction
ICLITR,"伦敦帝国理工学院建立于1907年，曾是联邦大学伦敦大学的一个加盟学院。在2007年伦敦帝国理工学院庆祝了该校100周年，并且凭借着学术上卓著的成就从伦敦大学中分立出来。伦敦帝国理工学院与牛津大学、剑桥大学、伦敦政治经济学院、伦敦大学学院并成为G5精英大学，代表着英国大学的高学术水平。帝国理工在世界上享有和麻省理工同等的声誉，研究水平被公认为是英国大学的三甲之列。伦敦帝国理工学院有8个校区分布在伦敦及其周围。主校区位于伦敦的市中心——南肯辛顿，与著名的海德公园、肯辛顿宫(戴安娜王妃生前住处)仅咫尺之遥。周边有很多博物馆体现了它浓厚的文化氛围。中央图书馆也坐落在南肯辛顿校区，有藏书三百五十多万本和期刊一千八百种，学习座位一千余个，学期间24小时开放。伦敦帝国理工学院是英国入学标准高的大学之一，新生入学A level平均分29.7。伦敦帝国理工学院下设工程系，医学系，自然科学系和商学院，开设有242门教学课程。截止2010至2011年度，伦敦帝国理工学院全校有13,964名全日制学生及1000多名教职员工，学教比12:1.1。伦敦帝国理工学院的师资力量极其雄厚，有着优秀的教学能力，在科学领域也有很高的成就，尤其是在机械工程，医药研究和医药加工，以及健康护理等方面。根据2011至2012年度世界大学排名，伦敦帝国理工学院总排名欧洲第3，世界第8。工程和信息科学欧洲第4，世界第10；生命科学欧洲第3，世界第9；物理学科欧洲第4，世界第14。伦敦帝国理工学院在1996年英国高等教育基金委员会研究评估中，数学、电脑科学、化学工程、土木工程、机械工程、矿业工程、生物化学、生物科学、化学、物理、应用数学、统计及运算研究、工程、电机及电子工程、历史等均获得5分。",Introduction
LOUITR,前身为1909年成立的技术学院的拉夫堡大学，于1966年获得皇家特许状，成为英国众多优秀的大学之一。 大学一直致力于走在工程和技术专业的最前沿，同时注重在运动、运动技术、艺术和设计、商务研究、 科学、社会科学和人类学等专业方面的研究，成绩卓著。拉夫堡是一个奇妙的地方，对于学习和工作，拥有无与伦比的体育成就，享誉国际的研究和优秀的教学质量都帮助拉夫堡大学获得了很高的声望。拉夫堡大学单一的校区环境为其提供了极大的吸引力并且与其他学校相比起到了促进和支持作用，一流的设施为学生和工作人员提供了保证。拉夫堡大学是一个优秀的大学所有接触过后的学生都因此而骄傲。在2012年的泰晤士报上被评为优秀大学排名第十一成为一个国家著名的大学，同时也巩固了它的地位。,Introduction
LSEITR,"自1895年由英国著名社会理论家、活动家韦伯夫妇创建以来，伦敦政治经济学院以卓越的学术成就而一直享有盛誉和广泛的全球影响力。现已发展成为在世界上最重要的社会科学大学之一，可以与哈佛大学，加州大学伯克利分校和斯坦福大学齐名。伦敦政治经济学院是一所专科大学，研究和教学范围覆盖社会科学的方方面面，从经济、法律和政治到社会学，人类学，会计和金融领域。从1925年到2010年，伦敦政治经济学院共产生过16为诺贝尔经济、和平、文学奖得主。34位过去或当今的世界领袖人物曾经在此学习或执教。伦敦经济学院的触角从位于伦敦市中心的校园延伸到世界各地：学院的学生人群十分国际化，拥有大约9,300名来自145个国家全日制学生。同时，将近3000人的员工队伍也非常国际化，约有45%来自英国以外的国家。在伦敦经济学院的校园中使用的语言超过100种。富有影响力的校友网络囊括10万人，覆盖全球190多个国家，活跃的校友团体超过70个。2008年最近的英国科研水平评估中发现伦敦政治经济学院在英国大学之中拥有的世界一流研究比例高。单项学科领域值得关注的有经济学，法律，社会政策和欧洲研究，都位居全国之冠。",Introduction
DUITR,"杜伦大学成立于1832年，并于1837年获颁皇家特许状成为独立大学。杜伦大学是独特性在于她是一所的兼具古老传统和现代价值高校。杜伦大学是继牛津大学和剑桥大学之后，英格兰第三古老的大学，是欧洲1000年以来领先的学习中心。近年来，杜伦大学也一直保持着这一强项，在英语世界影响力排行第七。杜伦大学位于世界遗产达拉谟市的心脏地带，是一个风景优美的好地方。这里的诺曼大教堂是世界上高颜值的哥特式教堂。 杜伦大学的学院是寄宿制学院，不仅为学生参加社会与学术活动提供了场所，校内还有羽毛球、篮球、板球、足球、曲棍球、划船等各种体育运动设施。杜伦大学拥有一流的图书馆设施，大学图书馆被列为英国六大世界主要图书馆之一。2014-2015学年，杜伦大学有学生17,505名，教职员工3,000多名，学生和教职人员来自于世界上150个国家，充分代表了杜伦大学的国际化和多样性，打造了良好的学术氛围。目前杜伦大学中国学生人数为2870名。杜伦大学是英国较好的研究性大学之一，设有艺术与人文，科学，社会科学和健康三个学系，25个学术部门或院校，16个独特的住宿和教育社区。目前，杜伦大学开设的专业有：人类学、考古学、生物科学、企业和企业财务、化学、经典和古代历史、计算机科学、地球科学、经济学、教育、工程、英语研究、地理、历史、国际关系、社会学、体育、神学等。",Introduction
LUCITR,兰卡斯特大学是一所坐落在英国兰卡斯特市郊的学院制大学。兰卡斯特大学享有着非常好的学术声誉，一直在英国大学排名中名列前茅。该校拥有全英国最优秀的环境科学系以及享誉国际的兰卡斯特大学管理学院(LUMS)。学校的物理系在低温物理方面的研究也是国际领先。另外，社会学系方面的教学和研究也非常出色。目前学校拥有约一万二千名全日制学生以及学术人员总共有超过二千名员工。兰卡斯特大学采用学院制体系，由三个中央学院和九个小分院组成，中央学院主要进行科研以及教学，而小分院主要是安排校院内的本科生、研究生、博士后研究人员和一些大学的工作人员等的生活，住宿和福利。兰卡斯特大学在英国卫报2012年优秀大学指南当中排名第七。英国星期日泰晤士报将兰卡斯特大学评为英格兰西北站较好的大学。最近，包括独立报，卫报，泰晤士报都将其评为英格兰西北站较好的大学。兰卡斯特大学管理学院是英国仅有的两个管理学院之一(另一个为伦敦商学院)。根据2011年英国全国学生调查，比起其他院校兰卡斯特大学的学生更满意他们的课程。总体而言，88%的学生在他们在兰卡斯特大学的最后一年中说起他们的课程非常满意。这些结果反映了敬业的员工努力工作，使每个来到这里的学生都会得到较好的教育。,Introduction
UCLITR,伦敦大学学院是英格兰继牛津、剑桥后第三所成立的大学，也是第一所允许学生来自任何种族、宗教和阶层的大学，还是第一所提供女性受高等教育平等权利的英国大学，历史上第一个学生会和大学剧院也诞生于此。伦敦大学学院邻近大英博物馆和大英图书馆，坐落于伦敦市中心，也因此使其成为了最昂贵的大学。UCL在第二次世界大战中遭受到了非常严重的轰炸，重建后的大学规模扩大到了现在的教学区域土地面积16公顷，活动场地36公顷；除宿舍楼外总建筑面积达到了29万5千平方米。伦敦大学学院UCL始建于1826年2月11日，最初的名字就是伦敦大学(London University )。鉴于当时的最著名的也是英格兰仅有两所大学：牛津大学和剑桥大学 都是严格意义上的教会学校，UCL立意成为宗教性质的大学之外的选择。虽然UCL的精神之父杰里米·边沁并未实际参与到学校的建设之中来，但是他所倡导的教育人人平等与国际化成为伦敦大学学院的建校之本。UCL从一开始就是作为一所综合大学所建立的，而不是学院或者研究机构。伦敦大学学院UCL始建于1826年2月11日，最初的名字就是伦敦大学(London University )。鉴于当时的最著名的也是英格兰仅有两所大学：牛津大学和剑桥大学 都是严格意义上的教会学校，UCL立意成为宗教性质的大学之外的选择。虽然UCL的精神之父杰里米·边沁并未实际参与到学校的建设之中来，但是他所倡导的教育人人平等与国际化成为伦敦大学学院的建校之本。UCL从一开始就是作为一所综合大学所建立的，而不是学院或者研究机构。,Introduction
HWITR,英国华威大学立项于于1961年，1965年得以建成，是英国一所著名的校园式大学。校园占地700余英亩，现有学生奖金20000人，其中有20%左右是来自世界125个国家的留学生。在这里，文化得以交流碰撞。学校课程：华威大学下设四个分院：人文学院、理学院、社会科学院和医学院，有30个院系和50个研究中心，提供120个不同专业的本科学位和超过100个硕士与博士研究生学位。大学开设的本科课程有：会计学与金融、汽车工程、生物化学、生物医学、化学生物、化学、土木工程、计算机与信息工程、计算机科学、计算机系统、早期儿童研究、经济学、经济学与工业组织、电子工程、工程商业管理、英国文学、英国文学与创新写作、英语与戏剧研究、环境生物学、欧洲法律、电影与文学、电影研究、法律与商学、法律与社会学等。,Introduction
