major,url,coursedepartment,coursemodeofstudy,education_background
Advanced Computer Science MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-advanced-computer-science,Department of Computer Science,        Full time  ,        1 year  
African Studies MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-african-studies,Oxford School of Global and Area Studies,        Full time  ,        9 months  
Ancient History DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-ancient-history,Faculty of Classics,        Full time  ,        3-4 years  
Ancient History DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-ancient-history-pt,Faculty of Classics,        Part time  ,        6-8 years  
Ancient Philosophy MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-ancient-philosophy,Faculty of Philosophy,        Full time  ,        9 months  
Anthropology DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-anthropology,School of Anthropology and Museum Ethnography,        Full time  ,        3-4 years  
Anthropology DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-anthropology-pt,School of Anthropology and Museum Ethnography,        Part time  ,        6-8 years  
Applied Landscape Archaeology MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-applied-landscape-archaeology,Department for Continuing Education,        Part time  ,        2 years  
Applied Linguistics and Second Language Acquisition MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-applied-linguistics-and-second-language-acquisition,Department of Education,        Full time  ,        1 year  
Applied Linguistics for Language Teaching MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-applied-linguistics-for-language-teaching,Department of Education,        Part time  ,        2 years  
Applied Theology MTh,https://www.ox.ac.uk/admissions/graduate/courses/mth-applied-theology,Faculty of Theology and Religion,        Full time  ,        2 years  
Applied Theology MTh,https://www.ox.ac.uk/admissions/graduate/courses/mth-applied-theology-pt,Faculty of Theology and Religion,        Part time  ,        3-4 years  
Applied Theology PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-applied-theology,Faculty of Theology and Religion,        Full time  ,        1 year  
Applied Theology PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-applied-theology-pt,Faculty of Theology and Religion,        Part time  ,        2 years  
Archaeological Science DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-archaeological-science,School of Archaeology,        Full time  ,        3-4 years  
Archaeological Science MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-archaeological-science,School of Archaeology,        Full time  ,        1 year  
Archaeology DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-archaeology,School of Archaeology,        Full time  ,        3-4 years  
Archaeology DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-archaeology-part-time,Department for Continuing Education,        Part time  ,        6-8 years  
Archaeology MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-archaeology,School of Archaeology,        Full time  ,        11 months  
Architectural History DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-architectural-history,Department for Continuing Education,        Part time  ,        5-8 years  
Architectural History PGCert,https://www.ox.ac.uk/admissions/graduate/courses/pgcert-architectural-history,Department for Continuing Education,        Part time  ,        11 months  
Area Studies DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-area-studies,Oxford School of Global and Area Studies,        Full time  ,        3-4 years  
Artificial Intelligence for Business PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-artificial-intelligence-for-business,Saïd Business School,        Part time  ,        1 year  
Astrophysics DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-astrophysics,Department of Physics,        Full time  ,        3-4 years  
"Atmospheric, Oceanic and Planetary Physics DPhil",https://www.ox.ac.uk/admissions/graduate/courses/dphil-atmospheric-oceanic-and-planetary-physics,Department of Physics,        Full time  ,        3-4 years  
Atomic and Laser Physics DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-atomic-and-laser-physics,Department of Physics,        Full time  ,        3-4 years  
Autonomous Intelligent Machines and Systems EPSRC CDT,https://www.ox.ac.uk/admissions/graduate/courses/autonomous-intelligent-machines-and-systems,"Department of Computer Science, Department of Engineering Science",        Full time  ,        4 years  
Bachelor of Civil Law BCL,https://www.ox.ac.uk/admissions/graduate/courses/bachelor-civil-law,Faculty of Law,        Full time  ,        10 months  
Biochemistry DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-biochemistry,Department of Biochemistry,        Full time  ,        3-4 years  
Biochemistry MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-biochemistry,Department of Biochemistry,        Full time  ,        1-3 years  
Biochemistry (Skaggs-Oxford Programme) DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-biochemistry-outsri,Department of Biochemistry,        Full time  ,        5 years  
"Biodiversity, Conservation and Management MPhil",https://www.ox.ac.uk/admissions/graduate/courses/mphil-biodiversity-conservation-and-management,School of Geography and the Environment,        Full time  ,        2 years  
"Biodiversity, Conservation and Management MSc",https://www.ox.ac.uk/admissions/graduate/courses/msc-biodiversity-conservation-and-management,School of Geography and the Environment,        Full time  ,        1 year  
Biomedical Sciences (NIH OxCam) DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-biomedical-sciences-nih-ou,Medical Sciences Doctoral Training Centre,        Full time  ,        3-4 years  
Buddhist Studies MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-buddhist-studies,Faculty of Oriental Studies,        Full time  ,        21 months  
Cancer Science DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-cancer-science,Medical Sciences Doctoral Training Centre,        Full time  ,        3-4 years  
Cardiovascular Science DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-cardiovascular-science,Medical Sciences Doctoral Training Centre,        Full time  ,        4 years  
Cellular Structural Biology DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-cellular-structural-biology,Medical Sciences Doctoral Training Centre,        Full time  ,        4 years  
Chemical Biology DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-chemical-biology,Department of Chemistry,        Full time  ,        3-4 years  
Chemical Biology MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-chemical-biology,Department of Chemistry,        Full time  ,        2-3 years  
Chemistry in Cells: New Technologies to Probe Complex Biology and Medicine DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-chemistry-cells,"Department of Chemistry, Medical Sciences Doctoral Training Centre",        Full time  ,        4 years  
Classical Archaeology DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-classical-archaeology,School of Archaeology,        Full time  ,        3-4 years  
Classical Archaeology MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-classical-archaeology,School of Archaeology,        Full time  ,        21 months  
Classical Archaeology MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-classical-archaeology,School of Archaeology,        Full time  ,        9 months  
Classical Armenian Studies MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-classical-armenian-studies,Faculty of Oriental Studies,        Full time  ,        9 months  
Classical Hebrew Studies MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-classical-hebrew-studies,Faculty of Oriental Studies,        Full time  ,        9 months  
Classical Indian Religion MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-classical-indian-religion,Faculty of Oriental Studies,        Full time  ,        21 months  
Classical Languages and Literature DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-classical-languages-and-literature,Faculty of Classics,        Full time  ,        3-4 years  
Classical Languages and Literature DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-classical-languages-and-literature-pt,Faculty of Classics,        Part time  ,        6-8 years  
Clinical and Therapeutic Neuroscience MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-clinical-therapeutic-neuroscience,Department of Psychiatry,        Full time  ,        1 year  
Clinical Embryology MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-clinical-embryology,Nuffield Department of Women's & Reproductive Health,        Full time  ,        1 year  
Clinical Medicine DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-clinical-medicine,Nuffield Department of Clinical Medicine,        Full time  ,        3-4 years  
Clinical Medicine DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-clinical-medicine-pt,Nuffield Department of Clinical Medicine,        Part time  ,        6-8 years  
Clinical Neurosciences DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-clinical-neurosciences,Nuffield Department of Clinical Neurosciences,        Full time  ,        3-4 years  
Clinical Neurosciences DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-clinical-neurosciences-pt,Nuffield Department of Clinical Neurosciences,        Part time  ,        6-8 years  
Clinical Neurosciences MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-clinical-neurosciences,Nuffield Department of Clinical Neurosciences,        Full time  ,        1-3 years  
