major,url
"
		Ruskin School ofArt",https://www.ox.ac.uk/admissions/graduate/courses/humanities/fine-art
"
		Faculty ofClassics",https://www.ox.ac.uk/admissions/graduate/courses/humanities/classics
"
		Faculty ofEnglish Language and Literature",https://www.ox.ac.uk/admissions/graduate/courses/humanities/english
"
		Faculty ofHistory",https://www.ox.ac.uk/admissions/graduate/courses/humanities/history
"
		Department,History of Art",https://www.ox.ac.uk/admissions/graduate/courses/humanities/history-of-art
"
		Humanities DivisionInterdisciplinary Courses",https://www.ox.ac.uk/admissions/graduate/courses/humanities/interdisciplinary-courses
"
		Faculty ofLinguistics, Philology & Phonetics",https://www.ox.ac.uk/admissions/graduate/courses/humanities/linguistics-philology-and-phonetics
"
		Faculty ofMedieval and Modern Languages",https://www.ox.ac.uk/admissions/graduate/courses/humanities/medieval-and-modern-languages
"
		Faculty ofMusic",https://www.ox.ac.uk/admissions/graduate/courses/humanities/music
"
		Faculty ofOriental Studies",https://www.ox.ac.uk/admissions/graduate/courses/humanities/oriental-studies
"
		Faculty ofPhilosophy",https://www.ox.ac.uk/admissions/graduate/courses/humanities/philosophy
"
		Faculty ofTheology and Religion",https://www.ox.ac.uk/admissions/graduate/courses/humanities/theology-and-religion
"
		Department ofChemistry",https://www.ox.ac.uk/admissions/graduate/courses/mpls/chemistry
"
		Department ofComputer Science",https://www.ox.ac.uk/admissions/graduate/courses/mpls/computer-science
"
		Mathematical, Physical and Life SciencesDoctoral Training Centre",https://www.ox.ac.uk/admissions/graduate/courses/mpls/doctoral-training-centre
"
		Department ofEarth Sciences",https://www.ox.ac.uk/admissions/graduate/courses/mpls/earth-sciences
"
		Department ofEngineering Science",https://www.ox.ac.uk/admissions/graduate/courses/mpls/engineering-science
"
		Doctoral Training PartnershipEnvironmental Research",https://www.ox.ac.uk/admissions/graduate/courses/environmental-research
"
		Department ofMaterials",https://www.ox.ac.uk/admissions/graduate/courses/mpls/materials
"
		Mathematical Institute",https://www.ox.ac.uk/admissions/graduate/courses/mpls/mathematics
"
		Department ofPhysics",https://www.ox.ac.uk/admissions/graduate/courses/mpls/physics
"
		Department ofPlant Sciences",https://www.ox.ac.uk/admissions/graduate/courses/mpls/plant-sciences
"
		Department ofStatistics",https://www.ox.ac.uk/admissions/graduate/courses/mpls/statistics
"
		Department ofZoology",https://www.ox.ac.uk/admissions/graduate/courses/mpls/zoology
"
		Department ofBiochemistry",https://www.ox.ac.uk/admissions/graduate/courses/medical-sciences/biochemistry
"
		Nuffield Department ofClinical Medicine",https://www.ox.ac.uk/admissions/graduate/courses/medical-sciences/clinical-medicine
"
		Nuffield Department ofClinical Neurosciences",https://www.ox.ac.uk/admissions/graduate/courses/medical-sciences/clinical-neurosciences
"
		Oxford Institute ofClinical Psychology Training",https://www.ox.ac.uk/admissions/graduate/courses/dclinpsych-clinical-psychology
"
		Medical SciencesDoctoral Training Centre",https://www.ox.ac.uk/admissions/graduate/courses/medical-sciences/doctoral-training-centre
"
		Department ofExperimental Psychology",https://www.ox.ac.uk/admissions/graduate/courses/medical-sciences/experimental-psychology
"
		Radcliffe Department OfMedicine",https://www.ox.ac.uk/admissions/graduate/courses/medical-sciences/medicine
"
		OxfordNeuroscience",https://www.ox.ac.uk/admissions/graduate/courses/medical-sciences/neuroscience
"
		Department ofOncology",https://www.ox.ac.uk/admissions/graduate/courses/medical-sciences/oncology
"
		Nuffield Department ofOrthopaedics, Rheumatology and Musculoskeletal Sciences",https://www.ox.ac.uk/admissions/graduate/courses/medical-sciences/orthopaedics-rheumatology-and-musculoskeletal-sciences
"
		Department ofPaediatrics",https://www.ox.ac.uk/admissions/graduate/courses/medical-sciences/paediatrics
"
		Sir William Dunn School ofPathology",https://www.ox.ac.uk/admissions/graduate/courses/medical-sciences/pathology
"
		Department ofPharmacology",https://www.ox.ac.uk/admissions/graduate/courses/medical-sciences/pharmacology
"
		Department ofPhysiology, Anatomy & Genetics",https://www.ox.ac.uk/admissions/graduate/courses/medical-sciences/physiology-anatomy-and-genetics
"
		Nuffield Department ofPopulation Health",https://www.ox.ac.uk/admissions/graduate/courses/medical-sciences/population-health
"
		Nuffield Department ofPrimary Care Health Sciences",https://www.ox.ac.uk/admissions/graduate/courses/medical-sciences/primary-care-health-sciences
"
		DEPARTMENT OFPsychiatry",https://www.ox.ac.uk/admissions/graduate/courses/medical-sciences/psychiatry
"
		Nuffield Department ofSurgical Sciences",https://www.ox.ac.uk/admissions/graduate/courses/medical-sciences/surgical-sciences
"
		Nuffield Department ofWomen's & Reproductive Health",https://www.ox.ac.uk/admissions/graduate/courses/medical-sciences/womens-and-reproductive-health
