item,detail
剑桥大学费用情况,"
                
                    
                        剑桥大学费用情况
                       
                    
                    
						2020/21剑桥大学留学费用：请注意：所有的学生必须能够确保整个专业学习期间在剑桥大学(除了在国外学习的一年时间)。1、剑桥大学一年费用国际学生的学费标准取决于你所选择的学习课程。如果你是一名欧盟国家的学生，并且你满足居住要求，那么你可以与英国学生支付相同的学费。如果你不确定你是英国/欧盟或海外学生，请在剑桥大学官网上查询了解。2019年海外学生的学费已获得批准。请注意：所列数字为每年的费用，并在课程期间固定。你应该预计学费在随后年份会增长。如果海外学生有一年出国交换留学，那么在这一年仅需向剑桥大学支付全部学费的50%。对于攻读兽医学的海外学生，第三年的学费将是该年所学课程的费用，关于课程详情见官网页面。Group 1Anglo-Saxon, Norse, and Celtic; Archaeology; Asian and Middle ? Eastern Studies; Classics; Economics; Education; English; History; History ? and Modern Languages; History and Politics; History of Art; Human, Social, ? and Political Sciences; Land Economy; Law; Linguistics; Modern and Medieval ? Languages; Philosophy; Theology, Religion, and Philosophy of Religion￡21,168Group 2Mathematics￡23,607Group 3Architecture; Geography; Music￡27,696Group 4Chemical Engineering; Computer Science; Engineering; Management ? Studies; Manufacturing Engineering; Natural Sciences; Psychological and ? Behavioural Sciences￡32,214Group 5Medical and Veterinary Science (including for this purpose the ? Second M.B. and Second Vet.M.B. Examinations)￡55,272所有海外费用状态的学生，以及不符合学费支持的英国/欧盟学生(例如因为他们参加的是第二个本科学位专业学习)，除了需要支付大学学费之外，通常还需要支付额外的学院费用。2、学院费用学院费用包括了学院为你提供的一系列教育、本国和乡村服务和支持的费用支出。各个学院的学院费用标准各不相同，在很多情况下，学院费是根据你的课程时间而定的。3、生活费作为一名国际学生，你在剑桥大学留学的生活成本可能会比英国学生要高一些(尤其是如果你在放假期间也待在剑桥或者是英国的话)。2019-20学年，剑桥大学每一年的较低生活成本资金(不包括学费和学院费用)大约需要￡10,950，实际消费额度由你的生活方式决定(您应考虑到未来几年会有增长)。链接：https://www.undergraduate.study.cam.ac.uk/international-students/fees                    
                
            "
牛津大学费用情况,"
                
                    
            
                           
						2019/20牛津大学学费您将被收取的学费以及有效的经济支持取决于您的收费状态，这些收费状态包括本地(英国)，欧盟(欧盟其他地区)，海外(欧盟以外)或群岛(海峡群岛或马恩岛)。欧盟以外的学生如果您来自欧盟以外的国家，您将被归类为“海外”或“岛屿”学生，您要知道，您将没有资格获得牛津或英国政府的任何学费资助。如果你是一名海外学生，你将被收取相当高的学费，具体将根据你的学习项目而有所不同(详见课程清单)。留学生需支付额外的学院费用。医学专业如果您是六年制医学课程的(英国)或欧盟学生，您将在第五年和第六年获得不同的学费安排。英国学生在这几年的学费将由国民保健体系支付。来自欧盟的五年级和六年级学生的学费支持安排情况尚不清楚。有关详细信息，请访问英国/欧盟医学生资助页面。临床医学专业的岛屿或海外学生需要注意，他们的费用将会大幅提高。Fee statusAnnual course fees payable by studentOverseasBetween ￡24,750 and ￡34,678*Islands￡9,2502019/20牛津大学生活费你的生活费用会因你的生活方式而有很大的不同。据估计，2019-20年期间，这一数字为每月￡1,058--￡1,643。本科课程通常由三个学期组成，每个学期八周，但作为参考，您最好按照9个月的预算准备资金，以确保您在假期期间也有足够的资金来维持基本生活。Per monthTotal for 9 monthsLower rangeUpper rangeLower rangeUpper rangeFood￡265￡371￡2,387￡3,342Accommodation (including utilities)￡566￡739￡5,093￡6,655Personal items￡122￡271￡1,098￡2,435Social activities￡42￡126￡380￡1,138Study costs￡40￡88￡359￡788Other￡23￡48￡208￡432Total￡1,058￡1,643￡9,525￡14,790链接：http://www.ox.ac.uk/admissions/undergraduate/fees-and-funding/course-fees                    
                
            "
圣安德鲁斯大学费用情况,"
                
                    
                        
                       
                    
                    
						2019/20圣安德鲁斯大学本科费用如果你是本科生，你的学费将取决于你的学习科目和你的国籍。此外，你还需要支付你自己的食宿费用，包括食物、旅行和洗衣费。你还应该预留一些书、设备、实地考察费和其他费用。在开始学习的时候，你可能会被要求支付总理事会和毕业费或结业费。在各个层次的学习中都有很多的奖学金和支持计划，学校可以在必要的时候提供财政援助和建议。Tuition fees for undergraduatesApprovedApprovedApprovedNotes2017-20182018-20192019-2020Home (Scotland/EU)?- Arts, Divinity, ? Science, Medicine￡1,820￡1,820*?* yet to be set by the Scottish GovernmentRUK (England, Wales, N.Ireland) - Arts, ? Divinity, Science, Medicine2017 onwards￡9,250￡9,250￡9,250RUK (England, Wales, N.Ireland) - Arts, ? Divinity, Science, Medicinepre-2017 entrants￡9,000￡9,250￡9,250Island Fees2017 onwards￡9,250￡9,250￡9,250Island Feespre-2017 entrants￡9,000￡9,250￡9,250Overseas - Arts, Divinity, Science2019 entrants--￡22,3502019 ? entrants - fixed tuition fees for the duration of studyOverseas - Arts, Divinity, Science2018 entrants-￡21,290￡21,2902018 ? entrants - fixed tuition fees for the duration of studyOverseas - Arts, Divinity, Science2017 entrants￡20,570￡20,570￡20,5702017 ? entrants - fixed tuition fees for the duration of studyOverseas - Arts, Divinity, Sciencepre-2017 entrants￡18,780￡19,720￡20,700pre-2017 entrants - fees will increase by no more than 5% ? each yearOverseas - Medicine2017 onwards￡28,200￡30,080￡31,580entrants ? from 2017 onwards - tuition fees may increase each year and further ? information can be found on our?Study at St Andrewswebpage?under ? the 'Tuition fees' headingOverseas - Medicinepre-2017 entrants￡26,460￡27,780￡29,170pre-2017 entrants - fees will increase by no more than 5% ? each year其他花费：Undergraduate exceptionsApprovedApprovedApprovedNotes2017-20182018-20192019-2020Philosophy Outreach ModulesDistance Learning￡303￡303*Equates to 20 credits of Home/EU undergraduatePhilosophy Outreach ModulesDistance Learning￡3,428￡3,548￡3,725Equates to 20 credits of?Overseas undergraduateCertificate of Sustainable AquacultureDistance Learning￡3,995￡3,995￡3,995/链接：https://www.st-andrews.ac.uk/students/money/fees/feestable
                
            "
 帝国理工学院费用情况,"
                
                    
                       
                       
                    
                    
						2019/20年帝国理工学院本科学费：以下表格列出了2019/20年新生的所有学费信息。返校生的费用信息将在相关的通货膨胀指标出来之后公布。请注意，帝国理工学院的费用按入学学院的年份收取，不按学习的年份收取。这里列出的费用针对的2019/20学年度入学的新生。你可以先选择你所属的院系，了解院系和课程费用信息。UK/EU学生：￡9,250国际学生费用（Islands/Overseas）工程学院（下属10个院系）计算机系、航空航天系、生物工程系、地球科学和工程学系、电子工程系、机械工程系、化学工程系、土木与环境工程系、戴森设计工程系、材料科学和工程系￡ 30,250.00学业含一年海外学习或一年企业实习/研究的学生医学院非临床医学￡ 41,000.00临床医学￡ 41,000.00医学生物科学￡ 30,000.00自然科学学院化学系￡ 31,000.00生命科学系￡ 31,000.00数学系￡ 28,000.00请注意：数学和计算机科学课程由计算学系实施。它们的费用详情请参看工程学院计算学系。物理系?￡ 31,000.00总结：由以上可以看出，帝国理工学院国际学生本科学费基本在￡28,000.00到￡41,000.00之间。链接：http://www.imperial.ac.uk/study/ug/fees-and-funding/tuition-fees/生活费超过90%的帝国理工学院的本科生选择第一年住在我们的宿舍里。我们有能容纳2500名学生的房间，包括单人间和双人间。我们有适应各种预算和不同地点的住宿条件。每周每人的住宿费用在￡100*到￡274*之间。链接：http://www.imperial.ac.uk/study/campus-life/accommodation/prospective/ug/fees/研究生学费因学院和项目而异，建议查看官网最新信息。http://www.imperial.ac.uk/study/pg/fees-and-funding/tuition-fees/2019-20/            
                
            "
      拉夫堡大学费用情况,"
                
                    
                  
                       
                    
                    
						2019/20拉夫堡大学本科费用：学费包括您的教学，评估和大学设施的运营成本，如图书馆，IT设备以及学习和个人支持设施。大学费用可以提前支付，并有多种支付方式，包括在线支付和分期付款。每年的学费在学年开始时支付，大多数学生选择拿学生贷款来支付这笔费用，并延迟还款，直到他们毕业并获得工资。你应该预计在未来几年的研究中会因为通货膨胀而增加费用支出。Tuition fees for 2019 entryUK/EU tuition ? feesInternational ? tuition feesBand A courses￡9,250￡17,500Band B courses￡9,250￡22,350Band C courses￡9,250￡18,400Erasmus+/study ? year abroad20% of the full-time ? fee20% of the full-time ? feeSandwich ? placement year20% of the full-time ? fee20% of the full-time ? feeFoundation ? year*￡9,250￡17,500生活费要想知道你选择的课程是费用分类中的哪一种，请在课程页面内查看费用详细信息。如果你有任何问题，或者对某事不确定，请不要犹豫与我们联系。住宿费如果您选择拉夫堡大学，并在7月底前申请住宿，我们将保证为你提供一间大学宿舍。Type ? of ? accommodationIndicative costHalls of ? Residence (Catered)￡5,800 ? – ￡7,000Halls of ? Residence (Self-Catering)￡3,500 ? – ￡6,200Accommodation ? for performance athletes￡6,845.50链接：http://www.lboro.ac.uk/study/undergraduate/fees-funding/fees/
            "
伦敦政治经济学院费用情况,"
                
                    
                        
                       
                    
                    
						2019/20伦敦政治经济学院本科学费每个本科生每年都会被收取一定的费用。费用包括应付学校的注册费和考试费，讲座费，课程费和个人监督费，其他学院安排下的讲座费，以及根据现行安排参加学生会的费用。它不包括生活费用、旅行或实地考察费用。每年春季确定下一学年的费用，并将在费用表中公布。2019本科学费：UKand EU：￡9,250海岛学生：￡9,250伦敦政治经济学院( LSE )居住在海峡群岛( Channel Islands 
)的新生第一年的学费为9，250英镑，但随后几年可能会随着通货膨胀而上涨。国际学生：￡19,9202019年，伦敦政治经济学院( LSE 
)海外学生第一年的学费为19,920英镑。海外学生需要在每年年初分期或全额支付这笔费用。海外费用通常每年上涨2.5%至4%。生活费生活费我们估计您每月应支付约1100 - 
1300英镑的生活费，包括住宿费、差旅费、食宿费、洗衣费、学习费和其他个人费用。这将取决于你的生活方式和需求，所以做一份自己的预算很重要。请注意，如果你要申请签证，你必须提供足够的资金证明，这些金额可能会有所不同。链接：http://www.lse.ac.uk/study-at-lse/Undergraduate/fees-and-funding
            "
     杜伦大学费用情况,"
                
                    
                   
                       
                    
                    
						2019/20杜伦大学本科学费：作为一名潜在的学生，充分理解大学将花多少钱，是否有资格获得经济支持对你来说很重要。这将使您能够在开始学习之前制定合理的经济计划。UK/EU学生学费：￡9,250*国际学生学费杜伦是英国最便宜的留学城市之一。英国北部的生活和住宿费用比南部和伦敦低。杜伦的很多企业都为学生提供折扣，你可以在各种各样的商品和服务上省钱，包括交通、时尚和娱乐。你应该在学习期间计划好你的财务状况，并确保你有足够的资金在去英国旅行之前支付所有费用。全日制国际学生的学费在课程数据库中显示。学生需核对课程具体信息，以支付最新的费用。本科学费因专业和项目而异，学费范围：￡19,250.00 per year--￡24,300.00 per year生活费生活费英格兰北部的生活成本通常要比南部低很多，但具体花费取决于你的生活方式。大学住宿我们的15个本科学院提供全面配餐、部分配餐和自助配餐选项。除了住宿和食品(提供膳食的学院)，大学的住宿费用包括公用事业(包括清洁服务)和各种设施。旅行杜伦市和皇后校区都很紧凑，可以步行或骑车。杜伦市周围的某些公共汽车服务对杜伦学生也是免费的。学生还可以用16-25铁路卡购买折扣火车票，价格为30英镑。杜伦市和纽卡斯尔之间的火车票价约6英镑。其他目的地也有折扣，包括伦敦、曼彻斯特、利物浦和爱丁堡。图书成本高达约250英镑。请记住，没有必要出去购买阅读清单上的每本书。图书馆里有所有课程书籍的副本。如果你真的想拥有自己的书籍副本，可以在亚马逊/eBay上或以前的学生那里寻找更便宜的二手版本。食物根据你被分配到的学院，你可以选择全面配餐(每天由学校提供膳食)或自助配餐(你必须准备好自己的所有膳食)。一般情况下，自助膳食的学生每周应准备大约30英镑的食物费。私人住房费用杜伦：预计每周支付60 - 100英镑(不含账单)，或每周支付100 - 
110英镑(含账单)。价格较低的住房往往离市中心较远。如果你选择分开付账单，除了房价之外，每周至少要多付15英镑。保持联系移动电话合同通常每月花费10到50美元，具体取决于您选择的电话类型以及需要多少分钟和信息花费。如果你有一部智能手机，只要你有wifi连接，你就可以使用APP、Skype和Viber与朋友和家人保持免费联系。娱乐以下是一些常见休闲活动的典型成本：电影票 - 约6英镑杜伦学生剧院 - 学生门票约￡6当地景点：杜伦城堡，杜伦大学学生免费; 大教堂，免费; 植物园，杜伦大学学生免费; 东方博物馆，杜伦大学学生免费。用餐 - 学生可以在当地餐馆和酒吧享受5-10英镑的折扣优惠。一顿标准餐，开胃菜要付5 - 10英镑，主菜要付10 - 
15英镑，甜点要付5英镑左右。注：研究生学费因学院和项目而异，建议去官网查看最新信息。链接：https://www.dur.ac.uk/study/ug/finance/international/
            "
兰卡斯特大学费用情况,"
     
                    
						2018/19兰卡斯特大学本科学费海外学生在本科阶段的课程所缴的学费主要分为三个档位，并依学科范围而定。国际学生(full time)Band 1： ￡15,680Band 2：￡17,500Band 3：￡18,890MBChB (Medical)： ￡30,330*第一档学院/学科领域艺术：犯罪; 英国文学与创作写作; 英语; 电影研究; 媒体与文化研究; 历史; 语言与文化; 法; 语言学; 哲学; 
政治与国际关系; 宗教研究; 社会工作; 社会学; 戏剧研究。第二档学院/学科领域会计与金融：商业研究; 经济学;创业; 管理; 管理和组织; 管理科学;市场营销; 运营管理，组织，工作和技术。第三档学院/学科领域生物化学：生物科学; 化学; 通信系统; 计算机科学; 地球科学; 生态; 工程; 环境化学; 环境科学; 地理; 数学与统计; 
自然科学; 物理; 心理学。任何学生如在第一学期第四周开始前转专业，将须缴付新课程的全部学费。本科生活费：住宿费兰开斯特大学提供广泛的本科生住宿，以适应不同的偏好和预算。在一年一度的全国学生住房调查中，我们自2010年以来六次被评为英国较好的大学殿堂。住宿费是定期预付的，我们会在您到达之前通过电子邮件向您发送发票。如果您在任何付款日期遇到困难，您必须在到期日之前亲自与住宿经理讨论此事。费用包括供暖、照明、供电以及学期期间24小时的安保服务。ResNet也包括在内，使您可以访问大学网络和高速互联网(有线和无线)。保险费覆盖您在房间里的财产，高可达5，000英镑。自行车费较多250英镑也包含在内。您可能希望增加某些项目的承保范围。更多详情可在居民手册和cover4学生网站上找到。所有共用区域(如厨房、共用淋浴室和走廊)都包括基本清洁服务，但您有责任保持自己房间的清洁。工作室公寓、家庭公寓和联排别墅没有清洁服务。更多详情请参阅居民手册。此处报价适用于2018 / 19学年。学生具体需要支付的住宿费和所选课程及宿舍类型有关。链接：https://www.lancaster.ac.uk/student-based-services/money/fees/undergraduates/overseas-students/                  
                
            "
"
                        伦敦大学学院费用情况","
                
                    
                       
                    
                    
						2019/20伦敦大学学院本科学费国际学生对于国际(海外)本科生，UCL没有设置固定费用，具体学费根据学院和所选课程而有所不同。2019年各学科学费如下：￡18,430 for most Education programmes;￡19,380 for most Linguistics programmes;￡19,970 for most Arts, Humanities and Social Science-based programmes;￡20,640 for Laws￡21,680 for Arts and Sciences (BASc) programmes;￡21,870 for most Economics programmes;￡23,470 for most Mathematics programmes;￡24,090 for most Geography programmes;￡24,760 for most Life Sciences programmes (￡21,680 for Pharmacy MPharm);￡25,260 for most Statistics programmes;￡25,770 for most Architecture programmes;￡26,740 for most Science programmes (￡29,220 for Computer Science);￡26,740 for most Archaeology, Engineering and Astrophysics programmes;￡27,220 for Fine Art;￡34,660 for Medicine (￡23,300 for the integrated BSc year). 
请注意，固定费用不适用于医学项目。单独专业的费用可以在课程列表中找到。本科生活费生活费包括食物、旅行、住宿以及与你的学位相关的其他费用。在学习期间为你的生活和日常开支做预算会根据你的个人需要而有所不同。每周约387英镑的被认为是一个合理的平均水平，大约39周，包括30周的UCL学术年，以及圣诞节和复活节假期。这样计算下来，一个学年的平均值约为15103英镑。但事实上，许多学生的生活成本远远低于平均水平。具体开支如下：Per year (39 weeks)Per week (39/52 weeks)Rent￡8,190￡210 (average)Food￡1,833￡47Household goods￡351￡9Insurance￡77￡1.97Personal items*￡1,911￡49Leisure items*￡1,248￡32Travel**￡936￡24.50Books and equipment (includes laptop)￡507￡13链接：https://www.ucl.ac.uk/prospective-students/undergraduate/fees-funding/tuition-fees/overseas                    
                
            "
" 华威大学费用情况
                       ","
                
                    
                       
                    
                    
						2019/20学年华威大学本科费用：·学费必须由所有注册的学生支付。学费是与学习有关的费用，不包括住宿费。有关与课程相关的其他成本(例如书籍和设备)的信息，请查看课程信息页面。学费在每个学年开始时缴纳。直接向大学付费的学生可以选择分期付款。在学生资助网站上可以找到包含插班一年或一年海外课程的学费。UK/EU：￡9250国际学生Band1授课课程，包含大多数人文或社会科学课程：￡19240Band1包括图书馆课程，戏剧或表演研究、经济学以及华威商学院的课程：￡24540医学第一年：￡22460第2-4年：￡39150链接：https://warwick.ac.uk/study/undergraduate/studentfunding/·住宿费上大学可能是你第一次离家。无论您的预算、生活方式或实际需求如何，我们都将努力帮助您尽快安顿下来，并帮助您找到适合您的住宿环境。华威住宿(官方学生物业管理和出租代理)为所有的全日制学生提供支持。你不会被收取任何服务费。我们经验丰富的团队旨在解决住宿麻烦，管理着校园内外8000多个房间。我们保证为所有新的全日制一年级本科生(不包括MB 
ChB，因为这是一门研究生入学课程)提供校园住宿，前提是您已接受华威大学offer，并且在接受我们的offer后，在截止日期前在线申请住宿。我们所有的校园住宿都是不包餐的。有些房间有成套浴室设施，另一些房间有共用浴室。您可以在您的宿舍享受无线网络，因此可以轻松地访问互联网。每周费用从80英镑到167英镑不等。*长短不一：短的意思是复活节假期你不用付住宿费，长的意思是假期你可以灵活地呆在校园里或者把你的物品留在房间里。                 
                
            "
